ID,Title,Abstract,Published Date,Updated Date,Author names,DOI,Journal Reference,Primary Category,Categories,Link,PDF Link
http://arxiv.org/abs/2508.20595v1,"Disruptive Attacks on Face Swapping via Low-Frequency Perceptual
  Perturbations","Deepfake technology, driven by Generative Adversarial Networks (GANs), poses
significant risks to privacy and societal security. Existing detection methods
are predominantly passive, focusing on post-event analysis without preventing
attacks. To address this, we propose an active defense method based on
low-frequency perceptual perturbations to disrupt face swapping manipulation,
reducing the performance and naturalness of generated content. Unlike prior
approaches that used low-frequency perturbations to impact classification
accuracy,our method directly targets the generative process of deepfake
techniques. We combine frequency and spatial domain features to strengthen
defenses. By introducing artifacts through low-frequency perturbations while
preserving high-frequency details, we ensure the output remains visually
plausible. Additionally, we design a complete architecture featuring an
encoder, a perturbation generator, and a decoder, leveraging discrete wavelet
transform (DWT) to extract low-frequency components and generate perturbations
that disrupt facial manipulation models. Experiments on CelebA-HQ and LFW
demonstrate significant reductions in face-swapping effectiveness, improved
defense success rates, and preservation of visual quality.",2025-08-28T09:34:53Z,2025-08-28T09:34:53Z,"Mengxiao Huang, Minglei Shu, Shuwang Zhou, Zhaoyang Liu",,,cs.CV,cs.CV,http://arxiv.org/abs/2508.20595v1,http://arxiv.org/pdf/2508.20595v1
http://arxiv.org/abs/2508.17247v1,"Uncovering and Mitigating Destructive Multi-Embedding Attacks in
  Deepfake Proactive Forensics","With the rapid evolution of deepfake technologies and the wide dissemination
of digital media, personal privacy is facing increasingly serious security
threats. Deepfake proactive forensics, which involves embedding imperceptible
watermarks to enable reliable source tracking, serves as a crucial defense
against these threats. Although existing methods show strong forensic ability,
they rely on an idealized assumption of single watermark embedding, which
proves impractical in real-world scenarios. In this paper, we formally define
and demonstrate the existence of Multi-Embedding Attacks (MEA) for the first
time. When a previously protected image undergoes additional rounds of
watermark embedding, the original forensic watermark can be destroyed or
removed, rendering the entire proactive forensic mechanism ineffective. To
address this vulnerability, we propose a general training paradigm named
Adversarial Interference Simulation (AIS). Rather than modifying the network
architecture, AIS explicitly simulates MEA scenarios during fine-tuning and
introduces a resilience-driven loss function to enforce the learning of sparse
and stable watermark representations. Our method enables the model to maintain
the ability to extract the original watermark correctly even after a second
embedding. Extensive experiments demonstrate that our plug-and-play AIS
training paradigm significantly enhances the robustness of various existing
methods against MEA.",2025-08-24T07:57:32Z,2025-08-24T07:57:32Z,"Lixin Jia, Haiyang Sun, Zhiqing Guo, Yunfeng Diao, Dan Ma, Gaobo Yang",,,cs.CV,cs.CV,http://arxiv.org/abs/2508.17247v1,http://arxiv.org/pdf/2508.17247v1
http://arxiv.org/abs/2508.10949v1,"Perturbed Public Voices (P$^{2}$V): A Dataset for Robust Audio Deepfake
  Detection","Current audio deepfake detectors cannot be trusted. While they excel on
controlled benchmarks, they fail when tested in the real world. We introduce
Perturbed Public Voices (P$^{2}$V), an IRB-approved dataset capturing three
critical aspects of malicious deepfakes: (1) identity-consistent transcripts
via LLMs, (2) environmental and adversarial noise, and (3) state-of-the-art
voice cloning (2020-2025). Experiments reveal alarming vulnerabilities of 22
recent audio deepfake detectors: models trained on current datasets lose 43%
performance when tested on P$^{2}$V, with performance measured as the mean of
F1 score on deepfake audio, AUC, and 1-EER. Simple adversarial perturbations
induce up to 16% performance degradation, while advanced cloning techniques
reduce detectability by 20-30%. In contrast, P$^{2}$V-trained models maintain
robustness against these attacks while generalizing to existing datasets,
establishing a new benchmark for robust audio deepfake detection. P$^{2}$V will
be publicly released upon acceptance by a conference/journal.",2025-08-13T17:54:55Z,2025-08-13T17:54:55Z,"Chongyang Gao, Marco Postiglione, Isabel Gortner, Sarit Kraus, V. S. Subrahmanian",,,cs.SD,"cs.SD, eess.AS",http://arxiv.org/abs/2508.10949v1,http://arxiv.org/pdf/2508.10949v1
http://arxiv.org/abs/2508.07596v1,"From Prediction to Explanation: Multimodal, Explainable, and Interactive
  Deepfake Detection Framework for Non-Expert Users","The proliferation of deepfake technologies poses urgent challenges and
serious risks to digital integrity, particularly within critical sectors such
as forensics, journalism, and the legal system. While existing detection
systems have made significant progress in classification accuracy, they
typically function as black-box models, offering limited transparency and
minimal support for human reasoning. This lack of interpretability hinders
their usability in real-world decision-making contexts, especially for
non-expert users. In this paper, we present DF-P2E (Deepfake: Prediction to
Explanation), a novel multimodal framework that integrates visual, semantic,
and narrative layers of explanation to make deepfake detection interpretable
and accessible. The framework consists of three modular components: (1) a
deepfake classifier with Grad-CAM-based saliency visualisation, (2) a visual
captioning module that generates natural language summaries of manipulated
regions, and (3) a narrative refinement module that uses a fine-tuned Large
Language Model (LLM) to produce context-aware, user-sensitive explanations. We
instantiate and evaluate the framework on the DF40 benchmark, the most diverse
deepfake dataset to date. Experiments demonstrate that our system achieves
competitive detection performance while providing high-quality explanations
aligned with Grad-CAM activations. By unifying prediction and explanation in a
coherent, human-aligned pipeline, this work offers a scalable approach to
interpretable deepfake detection, advancing the broader vision of trustworthy
and transparent AI systems in adversarial media environments.",2025-08-11T03:55:47Z,2025-08-11T03:55:47Z,"Shahroz Tariq, Simon S. Woo, Priyanka Singh, Irena Irmalasari, Saakshi Gupta, Dev Gupta",10.1145/3746027.3755786,,cs.CV,cs.CV,http://arxiv.org/abs/2508.07596v1,http://arxiv.org/pdf/2508.07596v1
http://arxiv.org/abs/2508.03067v1,Untraceable DeepFakes via Traceable Fingerprint Elimination,"Recent advancements in DeepFakes attribution technologies have significantly
enhanced forensic capabilities, enabling the extraction of traces left by
generative models (GMs) in images, making DeepFakes traceable back to their
source GMs. Meanwhile, several attacks have attempted to evade attribution
models (AMs) for exploring their limitations, calling for more robust AMs.
However, existing attacks fail to eliminate GMs' traces, thus can be mitigated
by defensive measures. In this paper, we identify that untraceable DeepFakes
can be achieved through a multiplicative attack, which can fundamentally
eliminate GMs' traces, thereby evading AMs even enhanced with defensive
measures. We design a universal and black-box attack method that trains an
adversarial model solely using real data, applicable for various GMs and
agnostic to AMs. Experimental results demonstrate the outstanding attack
capability and universal applicability of our method, achieving an average
attack success rate (ASR) of 97.08\% against 6 advanced AMs on DeepFakes
generated by 9 GMs. Even in the presence of defensive mechanisms, our method
maintains an ASR exceeding 72.39\%. Our work underscores the potential
challenges posed by multiplicative attacks and highlights the need for more
robust AMs.",2025-08-05T04:27:57Z,2025-08-05T04:27:57Z,"Jiewei Lai, Lan Zhang, Chen Tang, Pengcheng Sun, Xinming Wang, Yunhao Wang",,,cs.CR,"cs.CR, cs.AI",http://arxiv.org/abs/2508.03067v1,http://arxiv.org/pdf/2508.03067v1
http://arxiv.org/abs/2507.22398v3,"On the Reliability of Vision-Language Models Under Adversarial
  Frequency-Domain Perturbations","Vision-Language Models (VLMs) are increasingly used as perceptual modules for
visual content reasoning, including through captioning and DeepFake detection.
In this work, we expose a critical vulnerability of VLMs when exposed to
subtle, structured perturbations in the frequency domain. Specifically, we
highlight how these feature transformations undermine authenticity/DeepFake
detection and automated image captioning tasks. We design targeted image
transformations, operating in the frequency domain to systematically adjust VLM
outputs when exposed to frequency-perturbed real and synthetic images. We
demonstrate that the perturbation injection method generalizes across five
state-of-the-art VLMs which includes different-parameter Qwen2/2.5 and BLIP
models. Experimenting across ten real and generated image datasets reveals that
VLM judgments are sensitive to frequency-based cues and may not wholly align
with semantic content. Crucially, we show that visually-imperceptible spatial
frequency transformations expose the fragility of VLMs deployed for automated
image captioning and authenticity detection tasks. Our findings under
realistic, black-box constraints challenge the reliability of VLMs,
underscoring the need for robust multimodal perception systems.",2025-07-30T05:41:29Z,2025-08-13T01:15:41Z,"Jordan Vice, Naveed Akhtar, Yansong Gao, Richard Hartley, Ajmal Mian",,,cs.CV,cs.CV,http://arxiv.org/abs/2507.22398v3,http://arxiv.org/pdf/2507.22398v3
http://arxiv.org/abs/2507.21157v1,"Unmasking Synthetic Realities in Generative AI: A Comprehensive Review
  of Adversarially Robust Deepfake Detection Systems","The rapid advancement of Generative Artificial Intelligence has fueled
deepfake proliferation-synthetic media encompassing fully generated content and
subtly edited authentic material-posing challenges to digital security,
misinformation mitigation, and identity preservation. This systematic review
evaluates state-of-the-art deepfake detection methodologies, emphasizing
reproducible implementations for transparency and validation. We delineate two
core paradigms: (1) detection of fully synthetic media leveraging statistical
anomalies and hierarchical feature extraction, and (2) localization of
manipulated regions within authentic content employing multi-modal cues such as
visual artifacts and temporal inconsistencies. These approaches, spanning
uni-modal and multi-modal frameworks, demonstrate notable precision and
adaptability in controlled settings, effectively identifying manipulations
through advanced learning techniques and cross-modal fusion. However,
comprehensive assessment reveals insufficient evaluation of adversarial
robustness across both paradigms. Current methods exhibit vulnerability to
adversarial perturbations-subtle alterations designed to evade
detection-undermining reliability in real-world adversarial contexts. This gap
highlights critical disconnect between methodological development and evolving
threat landscapes. To address this, we contribute a curated GitHub repository
aggregating open-source implementations, enabling replication and testing. Our
findings emphasize urgent need for future work prioritizing adversarial
resilience, advocating scalable, modality-agnostic architectures capable of
withstanding sophisticated manipulations. This review synthesizes strengths and
shortcomings of contemporary deepfake detection while charting paths toward
robust trustworthy systems.",2025-07-24T22:05:52Z,2025-07-24T22:05:52Z,"Naseem Khan, Tuan Nguyen, Amine Bermak, Issa Khalil",,,cs.CR,"cs.CR, cs.CV, F.2.2; I.2.7",http://arxiv.org/abs/2507.21157v1,http://arxiv.org/pdf/2507.21157v1
http://arxiv.org/abs/2507.13170v1,"SHIELD: A Secure and Highly Enhanced Integrated Learning for Robust
  Deepfake Detection against Adversarial Attacks","Audio plays a crucial role in applications like speaker verification,
voice-enabled smart devices, and audio conferencing. However, audio
manipulations, such as deepfakes, pose significant risks by enabling the spread
of misinformation. Our empirical analysis reveals that existing methods for
detecting deepfake audio are often vulnerable to anti-forensic (AF) attacks,
particularly those attacked using generative adversarial networks. In this
article, we propose a novel collaborative learning method called SHIELD to
defend against generative AF attacks. To expose AF signatures, we integrate an
auxiliary generative model, called the defense (DF) generative model, which
facilitates collaborative learning by combining input and output. Furthermore,
we design a triplet model to capture correlations for real and AF attacked
audios with real-generated and attacked-generated audios using auxiliary
generative models. The proposed SHIELD strengthens the defense against
generative AF attacks and achieves robust performance across various generative
models. The proposed AF significantly reduces the average detection accuracy
from 95.49% to 59.77% for ASVspoof2019, from 99.44% to 38.45% for In-the-Wild,
and from 98.41% to 51.18% for HalfTruth for three different generative models.
The proposed SHIELD mechanism is robust against AF attacks and achieves an
average accuracy of 98.13%, 98.58%, and 99.57% in match, and 98.78%, 98.62%,
and 98.85% in mismatch settings for the ASVspoof2019, In-the-Wild, and
HalfTruth datasets, respectively.",2025-07-17T14:33:54Z,2025-07-17T14:33:54Z,"Kutub Uddin, Awais Khan, Muhammad Umar Farooq, Khalid Malik",,,cs.SD,"cs.SD, cs.AI, cs.CR, cs.LG, eess.AS",http://arxiv.org/abs/2507.13170v1,http://arxiv.org/pdf/2507.13170v1
http://arxiv.org/abs/2507.01428v1,DiffMark: Diffusion-based Robust Watermark Against Deepfakes,"Deepfakes pose significant security and privacy threats through malicious
facial manipulations. While robust watermarking can aid in authenticity
verification and source tracking, existing methods often lack the sufficient
robustness against Deepfake manipulations. Diffusion models have demonstrated
remarkable performance in image generation, enabling the seamless fusion of
watermark with image during generation. In this study, we propose a novel
robust watermarking framework based on diffusion model, called DiffMark. By
modifying the training and sampling scheme, we take the facial image and
watermark as conditions to guide the diffusion model to progressively denoise
and generate corresponding watermarked image. In the construction of facial
condition, we weight the facial image by a timestep-dependent factor that
gradually reduces the guidance intensity with the decrease of noise, thus
better adapting to the sampling process of diffusion model. To achieve the
fusion of watermark condition, we introduce a cross information fusion (CIF)
module that leverages a learnable embedding table to adaptively extract
watermark features and integrates them with image features via cross-attention.
To enhance the robustness of the watermark against Deepfake manipulations, we
integrate a frozen autoencoder during training phase to simulate Deepfake
manipulations. Additionally, we introduce Deepfake-resistant guidance that
employs specific Deepfake model to adversarially guide the diffusion sampling
process to generate more robust watermarked images. Experimental results
demonstrate the effectiveness of the proposed DiffMark on typical Deepfakes.
Our code will be available at https://github.com/vpsg-research/DiffMark.",2025-07-02T07:29:33Z,2025-07-02T07:29:33Z,"Chen Sun, Haiyang Sun, Zhiqing Guo, Yunfeng Diao, Liejun Wang, Dan Ma, Gaobo Yang, Keqin Li",,,cs.CV,"cs.CV, eess.IV",http://arxiv.org/abs/2507.01428v1,http://arxiv.org/pdf/2507.01428v1
http://arxiv.org/abs/2506.23676v1,"A Unified Framework for Stealthy Adversarial Generation via Latent
  Optimization and Transferability Enhancement","Due to their powerful image generation capabilities, diffusion-based
adversarial example generation methods through image editing are rapidly
gaining popularity. However, due to reliance on the discriminative capability
of the diffusion model, these diffusion-based methods often struggle to
generalize beyond conventional image classification tasks, such as in Deepfake
detection. Moreover, traditional strategies for enhancing adversarial example
transferability are challenging to adapt to these methods. To address these
challenges, we propose a unified framework that seamlessly incorporates
traditional transferability enhancement strategies into diffusion model-based
adversarial example generation via image editing, enabling their application
across a wider range of downstream tasks. Our method won first place in the
""1st Adversarial Attacks on Deepfake Detectors: A Challenge in the Era of
AI-Generated Media"" competition at ACM MM25, which validates the effectiveness
of our approach.",2025-06-30T09:59:09Z,2025-06-30T09:59:09Z,"Gaozheng Pei, Ke Ma, Dongpeng Zhang, Chengzhi Sun, Qianqian Xu, Qingming Huang",,,cs.CV,cs.CV,http://arxiv.org/abs/2506.23676v1,http://arxiv.org/pdf/2506.23676v1
