Title,Citation Count,Abstract,PDF Link,Link,Author names,Author Names With Google Scholar,Snippet,ID
"Deepfakes generation and detection: State-of-the-art, open challenges, countermeasures, and way forward",601,"Easy access to audio-visual content on social media, combined with the availability of modern tools such as Tensorflow or Keras, open-source trained models, and economical computing infrastructure, and the rapid evolution of deep-learning (DL) methods, especially Generative Adversarial Networks (GAN), have made it possible to generate deepfakes to disseminate disinformation, revenge porn, financial frauds, hoaxes, and to disrupt government functioning. The existing surveys have mainly focused on deepfake video detection only. No attempt has been made to review approaches for detection and generation of both audio and video deepfakes. This paper provides a comprehensive review and detailed analysis of existing tools and machine learning (ML) based approaches for deepfake generation and the methodologies used to detect such manipulations for the detection and generation of both audio and video deepfakes. For each category of deepfake, we discuss information related to manipulation approaches, current public datasets, and key standards for the performance evaluation of deepfake detection techniques along with their results. Additionally, we also discuss open challenges and enumerate future directions to guide future researchers on issues that need to be considered to improve the domains of both the deepfake generation and detection. This work is expected to assist the readers in understanding the creation and detection mechanisms of deepfake, along with their current limitations and future direction.",https://arxiv.org/pdf/2103.00484,https://link.springer.com/article/10.1007/s10489-022-03766-z,"M Nawaz, KM Malik, A Javed, A Irtaza","M Nawaz:https://scholar.google.com/citations?user=Cor7r8AAAAAJ&hl=en&num=20&oi=sra
KM Malik:https://scholar.google.com/citations?user=MZGQT2wAAAAJ&hl=en&num=20&oi=sra
A Javed:https://scholar.google.com/citations?user=057gJdYAAAAJ&hl=en&num=20&oi=sra
A Irtaza:https://scholar.google.com/citations?user=H8ZmPmAAAAAJ&hl=en&num=20&oi=sra","… surveys have mainly focused on the detection of deepfake images and videos; this paper provides a comprehensive review … deepfake generation, and the methodologies used to detect …",grEDmqDZyFYJ
"A survey on multimedia-enabled deepfake detection: state-of-the-art tools and techniques, emerging trends, current challenges & limitations, and future directions",4,,https://link.springer.com/content/pdf/10.1007/s10791-025-09550-0.pdf,https://link.springer.com/article/10.1007/s10791-025-09550-0,"AA Khan, AA Laghari, SA Inam, S Ullah, M Shahzad","AA Khan:https://scholar.google.com/citations?user=pvbxRsUAAAAJ&hl=en&num=20&oi=sra
AA Laghari:https://scholar.google.com/citations?user=SPrlpJIAAAAJ&hl=en&num=20&oi=sra
SA Inam:https://scholar.google.com/citations?user=AWXBIoEAAAAJ&hl=en&num=20&oi=sra
S Ullah:https://scholar.google.com/citations?user=9hz_DfUAAAAJ&hl=en&num=20&oi=sra
M Shahzad:https://scholar.google.com/citations?user=7HEjIKcAAAAJ&hl=en&num=20&oi=sra","… for cross-model deepfake evaluation are discussed in this review study along with potential … Given how quickly deepfake generation techniques are developing, this study examines …",Gmquq32GRlYJ
"A literature review and perspectives in deepfakes: generation, detection, and applications",89,,,https://link.springer.com/article/10.1007/s13735-022-00241-w,"D Dagar, DK Vishwakarma","D Dagar:https://scholar.google.com/citations?user=epzYopgAAAAJ&hl=en&num=20&oi=sra
DK Vishwakarma:https://scholar.google.com/citations?user=TUsEwA8AAAAJ&hl=en&num=20&oi=sra","… survey on the application of deepfakes, followed by discussions on state-of-the-art methods for deepfake generation … the various state-of-the-art surveys and identify the gaps this review …",tWCgjnGH5v8J
"State-of-the-art AI-based Learning Approaches for Deepfake Generation and Detection, Analyzing Opportunities, Threading through Pros, Cons, and Future Prospects",2,"The rapid advancement of deepfake technologies, specifically designed to create incredibly lifelike facial imagery and video content, has ignited a remarkable level of interest and curiosity across many fields, including forensic analysis, cybersecurity and the innovative creation of digital characters. By harnessing the latest breakthroughs in deep learning methods, such as Generative Adversarial Networks, Variational Autoencoders, Few-Shot Learning Strategies, and Transformers, the outcomes achieved in generating deepfakes have been nothing short of astounding and transformative. Also, the ongoing evolution of detection technologies is being developed to counteract the potential for misuse associated with deepfakes, effectively addressing critical concerns that range from political manipulation to the dissemination of fake news and the ever-growing issue of cyberbullying. This comprehensive review paper meticulously investigates the most recent developments in deepfake generation and detection, including around 400 publications, providing an in-depth analysis of the cutting-edge innovations shaping this rapidly evolving landscape. Starting with a thorough examination of systematic literature review methodologies, we embark on a journey that delves into the complex technical intricacies inherent in the various techniques used for deepfake generation, comprehensively addressing the challenges faced, potential solutions available, and the nuanced details surrounding manipulation formulations. Subsequently, the paper is dedicated to accurately benchmarking leading approaches against prominent datasets, offering thorough assessments of the contributions that have significantly impacted these vital domains. Ultimately, we engage in a thoughtful discussion of the existing challenges, paving the way for continuous advancements in this critical and ever-dynamic study area. ",https://arxiv.org/pdf/2501.01029?,https://arxiv.org/abs/2501.01029,"MS Wajid, MA Wajid, AMUD Khanday","MS Wajid:https://scholar.google.com/citations?user=6eS_DEIAAAAJ&hl=en&num=20&oi=sra
MA Wajid:https://scholar.google.com/citations?user=bk6XKYwAAAAJ&hl=en&num=20&oi=sra
AMUD Khanday:https://scholar.google.com/citations?user=vutAvc4AAAAJ&hl=en&num=20&oi=sra","… The objective of the review paper is to provide a comprehensive examination of the current state of deepfake generation and detection methods, focusing specifically on the role of deep …",dXf-6hW32RMJ
"Deepfake generation and detection, a survey",196,,,https://link.springer.com/article/10.1007/s11042-021-11733-y,,,"… types of deepfake, then make a survey on state-of-the-art methods deepfake generation and detection… Finally, discuss challenges and future research directions on deepfake detection. …",XKh1l2rfWsMJ
Deepfake media generation and detection in the generative AI era: a survey and outlook,9,"With the recent advancements in generative modeling, the realism of deepfake content has been increasing at a steady pace, even reaching the point where people often fail to detect manipulated media content online, thus being deceived into various kinds of scams. In this paper, we survey deepfake generation and detection techniques, including the most recent developments in the field, such as diffusion models and Neural Radiance Fields. Our literature review covers all deepfake media types, comprising image, video, audio and multimodal (audio-visual) content. We identify various kinds of deepfakes, according to the procedure used to alter or generate the fake content. We further construct a taxonomy of deepfake generation and detection methods, illustrating the important groups of methods and the domains where these methods are applied. Next, we gather datasets used for deepfake detection and provide updated rankings of the best performing deepfake detectors on the most popular datasets. In addition, we develop a novel multimodal benchmark to evaluate deepfake detectors on out-of-distribution content. The results indicate that state-of-the-art detectors fail to generalize to deepfake content generated by unseen deepfake generators. Finally, we propose future directions to obtain robust and powerful deepfake detectors. Our project page and new benchmark are available at https://github.com/CroitoruAlin/biodeep. ",,https://arxiv.org/abs/2411.19537,"FA Croitoru, AI Hiji, V Hondru, NC Ristea, P Irofti","FA Croitoru:https://scholar.google.com/citations?user=RyD1dScAAAAJ&hl=en&num=20&oi=sra
AI Hiji:https://scholar.google.com/citations?user=_PLvCVwAAAAJ&hl=en&num=20&oi=sra
V Hondru:https://scholar.google.com/citations?user=BPb6oyIAAAAJ&hl=en&num=20&oi=sra
NC Ristea:https://scholar.google.com/citations?user=W_1liH0AAAAJ&hl=en&num=20&oi=sra
P Irofti:https://scholar.google.com/citations?user=yJZpIfgAAAAJ&hl=en&num=20&oi=sra","… Our literature review covers all deepfake media types, … deepfake detectors on out-of-distribution content. The results indicate that state-of-the-art detectors fail to generalize to deepfake …",TrEKVio7hpkJ
"A review of deepfake techniques: architecture, detection and datasets",13,,https://ieeexplore.ieee.org/iel8/6287639/6514899/10711187.pdf,https://ieeexplore.ieee.org/abstract/document/10711187/,"P Edwards, JC Nebel, D Greenhill, X Liang","P Edwards:https://scholar.google.com/citations?user=xiDYSukAAAAJ&hl=en&num=20&oi=sra
JC Nebel:https://scholar.google.com/citations?user=_NbQIZQAAAAJ&hl=en&num=20&oi=sra
D Greenhill:https://scholar.google.com/citations?user=DiREjYcAAAAJ&hl=en&num=20&oi=sra
X Liang:https://scholar.google.com/citations?user=GXqmIpUAAAAJ&hl=en&num=20&oi=sra","… They are investigated by analysing state-of-the-art research with a … REVIEW This section explores ten recently published review papers in the field of deepfake creation and detection, …",3XfDbUcvUdcJ
A review on deepfake generation and detection: bibliometric analysis,21,,,https://link.springer.com/article/10.1007/s11042-024-18706-x,"A Kaushal, S Kumar, R Kumar","A Kaushal:https://scholar.google.com/citations?user=R7H_2aMAAAAJ&hl=en&num=20&oi=sra
S Kumar:https://scholar.google.com/citations?user=9ukv0NIAAAAJ&hl=en&num=20&oi=sra
R Kumar:https://scholar.google.com/citations?user=RkM_DrcAAAAJ&hl=en&num=20&oi=sra","… A review of the most popular and state-of-the-art deepfake … techniques related to the creation and identification of Deepfakes, we believe it is essential to conduct an extensive survey [55]…",FWpq-yBsF0IJ
DeepFake detection for human face images and videos: A survey,239,"Techniques for creating and manipulating multimedia information have progressed to the point where they can now ensure a high degree of realism. DeepFake is a generative deep learning algorithm that creates or modifies face features in a superrealistic form, in which it is difficult to distinguish between real and fake features. This technology has greatly advanced and promotes a wide range of applications in TV channels, video game industries, and cinema, such as improving visual effects in movies, as well as a variety of criminal activities, such as misinformation generation by mimicking famous people. To identify and classify DeepFakes, research in DeepFake detection using deep neural networks (DNNs) has attracted increased interest. Basically, DeepFake is the regenerated media that is obtained by injecting or replacing some information within the DNN model. In this survey, we will summarize the DeepFake detection methods in face images and videos on the basis of their results, performance, methodology used and detection type. We will review the existing types of DeepFake creation techniques and sort them into five major categories. Generally, DeepFake models are trained on DeepFake datasets and tested with experiments. Moreover, we will summarize the available DeepFake dataset trends, focusing on their improvements. Additionally, the issue of how DeepFake detection aims to generate a generalized DeepFake detection model will be analyzed. Finally, the challenges related to DeepFake creation and detection will be discussed. We hope that the knowledge encompassed in this survey will accelerate the use of deep learning in face image and video DeepFake detection methods.",https://ieeexplore.ieee.org/iel7/6287639/6514899/09712265.pdf,https://ieeexplore.ieee.org/abstract/document/9712265/,"A Malik, M Kuribayashi, SM Abdullahi, AN Khan","A Malik:https://scholar.google.com/citations?user=41rvEokAAAAJ&hl=en&num=20&oi=sra
M Kuribayashi:https://scholar.google.com/citations?user=L2zHEhMAAAAJ&hl=en&num=20&oi=sra
SM Abdullahi:https://scholar.google.com/citations?user=D1BoQJoAAAAJ&hl=en&num=20&oi=sra
AN Khan:https://scholar.google.com/citations?user=glP_7fwAAAAJ&hl=en&num=20&oi=sra","… review the existing types of DeepFake creation techniques and sort them into five major categories. Generally, DeepFake models are trained on DeepFake … over previous state-of-the-art …",QRmu8y_NNn0J
Deepfakes generation and detection: A short survey,109,"Advancements in deep learning techniques and the availability of free, large databases have made it possible, even for non-technical people, to either manipulate or generate realistic facial samples for both benign and malicious purposes. DeepFakes refer to face multimedia content, which has been digitally altered or synthetically created using deep neural networks. The paper first outlines the readily available face editing apps and the vulnerability (or performance degradation) of face recognition systems under various face manipulations. Next, this survey presents an overview of the techniques and works that have been carried out in recent years for deepfake and face manipulations. Especially, four kinds of deepfake or face manipulations are reviewed, i.e., identity swap, face reenactment, attribute manipulation, and entire face synthesis. For each category, deepfake or face manipulation generation methods as well as those manipulation detection methods are detailed. Despite significant progress based on traditional and advanced computer vision, artificial intelligence, and physics, there is still a huge arms race surging up between attackers/offenders/adversaries (i.e., DeepFake generation methods) and defenders (i.e., DeepFake detection methods). Thus, open challenges and potential research directions are also discussed. This paper is expected to aid the readers in comprehending deepfake generation and detection mechanisms, together with open issues and future directions.",,https://www.mdpi.com/2313-433X/9/1/18,Z Akhtar,Z Akhtar:https://scholar.google.com/citations?user=WSsLM18AAAAJ&hl=en&num=20&oi=sra,"… For instance, an audio deepfake was utilized to scam a CEO … types of deepfake/face manipulation generation and detection. … the state-of-the-art in deepfake generation and detection. …",MDeuBQ8OnB0J
